Serial (序号)	Idiom (成语)	Frequency (频率)	HSK level (HSK级别)
4536:	书不尽意	1	
4537:	殊路同归	1	
4538:	瘦骨伶仃	1	
4539:	势焰熏天	1	
4540:	逝者如斯	1	
4541:	拾遗补阙	1	
4542:	时乖命蹇	1	
4543:	拾人牙慧	1	
4544:	拾金不昧	1	
4545:	十指连心	1	
4546:	时来运转	1	
4547:	矢口抵赖	1	
4548:	事无常师	1	
4549:	事预则立	1	
4550:	事不过三	1	
4551:	事必躬亲	1	
4552:	世风日下	1	
4553:	唾面自干	1	
4554:	外圆内方	1	
4555:	心浮气躁	1	
4556:	心怀鬼胎	1	
4557:	心弛神往	1	
4558:	欣然自得	1	
4559:	邪不胜正	1	
4560:	邪门歪道	1	
4561:	心怀叵测	1	
4562:	心慌意乱	1	
4563:	心神不宁	1	
4564:	心术不正	1	
4565:	心如古井	1	
4566:	心如刀割	1	
4567:	心宽体胖	1	
4568:	笑容可掬	1	
4569:	小巧玲珑	1	
4570:	响遏行云	1	
4571:	向隅而泣	1	
4572:	相生相克	1	
4573:	相机行事	1	
4574:	嫌贫爱富	1	
4575:	萧规曹随	1	
4576:	霄壤之别	1	
4577:	小康之家	1	
4578:	小鸟依人	1	
4579:	小家碧玉	1	
4580:	小大由之	1	
4581:	削足适履	1	
4582:	心细如发	1	
4583:	心向往之	1	
4584:	血债累累	1	
4585:	询谋佥同	1	
4586:	血流漂杵	1	
4587:	血口喷人	1	
4588:	学无止境	1	
4589:	雪兆丰年	1	
4590:	寻章摘句	1	
4591:	严丝合缝	1	
4592:	言为心声	1	
4593:	言之无物	1	
4594:	言归正传	1	
4595:	言多必失	1	
4596:	言不及义	1	
4597:	选贤与能	1	
4598:	悬梁刺股	1	
4599:	信而有征	1	
4600:	信口开合	1	
4601:	心中无数	1	
4602:	心猿意马	1	
4603:	心心念念	1	
4604:	兴味索然	1	
4605:	行不由径	1	
4606:	袖里乾坤	1	
4607:	绣花枕头	1	
4608:	秀色可餐	1	
4609:	胸无点墨	1	
4610:	胸怀大志	1	
4611:	弦外之意	1	
4612:	弦外有音	1	
4613:	伟绩丰功	1	
4614:	尾大不掉	1	
4615:	委靡不振	1	
4616:	维妙维肖	1	
4617:	为人作嫁	1	
4618:	为善最乐	1	
4619:	蔚成风气	1	
4620:	畏首畏尾	1	
4621:	温文儒雅	1	
4622:	文人相轻	1	
4623:	温故知新	1	
4624:	谓予不信	1	
4625:	畏之如虎	1	
4626:	唯命是听	1	
4627:	违心之论	1	
4628:	万马奔腾	1	
4629:	万象更新	1	
4630:	万里长征	1	
4631:	万贯家财	1	
4632:	完事大吉	1	
4633:	万应灵丹	1	
4634:	万紫千红	1	
4635:	微言大义	1	
4636:	危如累卵	1	
4637:	望尘不及	1	
4638:	枉费心计	1	
4639:	王侯将相	1	
4640:	文治武功	1	
4641:	闻风而逃	1	
4642:	五洲四海	1	
4643:	物尽其用	1	
4644:	五日京兆	1	
4645:	五内如焚	1	
4646:	吴下阿蒙	1	
4647:	五毒俱全	1	
4648:	息息相通	1	
4649:	喜怒无常	1	
4650:	先来後到	1	
4651:	先礼後兵	1	
4652:	瞎子摸象	1	
4653:	细枝末节	1	
4654:	细微末节	1	
4655:	无足重轻	1	
4656:	无庸赘述	1	
4657:	乌七八糟	1	
4658:	污七八糟	1	
4659:	我见犹怜	1	
4660:	稳如泰山	1	
4661:	闻风而至	1	
4662:	无敌天下	1	
4663:	无名小卒	1	
4664:	无所用心	1	
4665:	无影无形	1	
4666:	无所不知	1	
4667:	无所不可	1	
4668:	无奇不有	1	
4669:	善与人交	1	
4670:	杀人越货	1	
4671:	面如死灰	1	
4672:	渺无人烟	1	
4673:	密锣紧鼓	1	
4674:	迷惑视听	1	
4675:	没头没脑	1	
4676:	眉开眼笑	1	
4677:	民生凋敝	1	
4678:	明媒正娶	1	
4679:	鸣鼓而攻	1	
4680:	名落孙山	1	
4681:	明知故问	1	
4682:	明正典刑	1	
4683:	明枪暗箭	1	
4684:	没头苍蝇	1	
4685:	没没无闻	1	
4686:	满坑满谷	1	
4687:	满山遍野	1	
4688:	满腹经纶	1	
4689:	卖友求荣	1	
4690:	卖身投靠	1	
4691:	漫山遍野	1	
4692:	漫天开价	1	
4693:	冒大不韪	1	
4694:	貌似强大	1	
4695:	毛骨耸然	1	
4696:	茫然若失	1	
4697:	漫无边际	1	
4698:	命在旦夕	1	
4699:	谬以千里	1	
4700:	内外夹攻	1	
4701:	能文能武	1	
4702:	难乎其难	1	
4703:	男尊女卑	1	
4704:	男耕女织	1	
4705:	男婚女嫁	1	
4706:	泥沙俱下	1	
4707:	逆耳之言	1	
4708:	怒形于色	1	
4709:	女大当嫁	1	
4710:	宁缺毋滥	1	
4711:	捏一把汗	1	
4712:	逆水行舟	1	
4713:	男大当婚	1	
4714:	南征北讨	1	
4715:	莫可名状	1	
4716:	莫明其妙	1	
4717:	莫测高深	1	
4718:	磨拳擦掌	1	
4719:	谬种流传	1	
4720:	莫逆之交	1	
4721:	莫予毒也	1	
4722:	木已成舟	1	
4723:	目不忍睹	1	
4724:	暮气沉沉	1	
4725:	暮鼓晨钟	1	
4726:	墨迹未干	1	
4727:	卖国求荣	1	
4728:	卖犊买刀	1	
4729:	劳民动众	1	
4730:	老于世故	1	
4731:	劳而无功	1	
4732:	浪迹江湖	1	
4733:	狼烟四起	1	
4734:	朗朗上口	1	
4735:	泪如泉涌	1	
4736:	冷暖自知	1	
4737:	利害相关	1	
4738:	立此存照	1	
4739:	礼崩乐坏	1	
4740:	离群索居	1	
4741:	冷眼相待	1	
4742:	来日方长	1	
4743:	来去无踪	1	
4744:	苦大仇深	1	
4745:	苦尽甘来	1	
4746:	口说无凭	1	
4747:	口蜜腹剑	1	
4748:	口耳相传	1	
4749:	苦口良药	1	
4750:	苦乐不均	1	
4751:	窥豹一斑	1	
4752:	拉家带口	1	
4753:	旷古未有	1	
4754:	狂风骤雨	1	
4755:	夸夸而谈	1	
4756:	沥胆披肝	1	
4757:	力争上游	1	
4758:	笼而统之	1	
4759:	笼络人心	1	
4760:	龙潭虎穴	1	
4761:	龙飞凤舞	1	
4762:	六亲不认	1	
4763:	六神无主	1	
4764:	屡教不改	1	
4765:	绿林好汉	1	
4766:	马耳东风	1	
4767:	马革裹尸	1	
4768:	马到功成	1	
4769:	络驿不绝	1	
4770:	掠人之美	1	
4771:	流芳千古	1	
4772:	留连忘返	1	
4773:	量力而为	1	
4774:	聊胜于无	1	
4775:	两小无猜	1	
4776:	良药苦口	1	
4777:	良辰美景	1	
4778:	料事如神	1	
4779:	列祖列宗	1	
4780:	令人起敬	1	
4781:	溜须拍马	1	
4782:	令人莫测	1	
4783:	玲珑剔透	1	
4784:	临危授命	1	
4785:	排除异己	1	
4786:	攀龙附凤	1	
4787:	秋毫无犯	1	
4788:	求全责备	1	
4789:	琼楼玉宇	1	
4790:	请君入瓮	1	
4791:	情深义重	1	
4792:	情窦初开	1	
4793:	去伪存真	1	
4794:	权衡轻重	1	
4795:	群魔乱舞	1	
4796:	仁人志士	1	
4797:	却之不恭	1	
4798:	全知全能	1	
4799:	权宜之策	1	
4800:	情不自已	1	
4801:	清汤寡水	1	
4802:	青面獠牙	1	
4803:	青山绿水	1	
4804:	青出于蓝	1	
4805:	沁人心脾	1	
4806:	乔迁之喜	1	
4807:	青云直上	1	
4808:	轻歌曼舞	1	
4809:	卿卿我我	1	
4810:	清风明月	1	
4811:	倾国倾城	1	
4812:	轻装简从	1	
4813:	轻手轻脚	1	
4814:	仁心仁术	1	
4815:	人定胜天	1	
4816:	如日方中	1	
4817:	如丧考妣	1	
4818:	如履如临	1	
4819:	如履平地	1	
4820:	戎马倥偬	1	
4821:	如法泡制	1	
4822:	如坐春风	1	
4823:	入情入理	1	
4824:	三山五岳	1	
4825:	三生有幸	1	
4826:	三六九等	1	
4827:	三皇五帝	1	
4828:	塞翁失马	1	
4829:	日落西山	1	
4830:	任其自然	1	
4831:	人强马壮	1	
4832:	人情世故	1	
4833:	人间天堂	1	
4834:	人喊马嘶	1	
4835:	人浮於事	1	
4836:	人穷志短	1	
4837:	人事不省	1	
4838:	任劳任怨	1	
4839:	任其自流	1	
4840:	人心难测	1	
4841:	人手一册	1	
4842:	人事不醒	1	
4843:	强作解人	1	
4844:	强颜欢笑	1	
4845:	扑天盖地	1	
4846:	普渡众生	1	
4847:	破铜烂铁	1	
4848:	破涕为笑	1	
4849:	破釜沈舟	1	
4850:	破罐破摔	1	
4851:	普天之下	1	
4852:	七老八十	1	
4853:	七折八扣	1	
4854:	凄风冷雨	1	
4855:	七情六欲	1	
4856:	七窍生烟	1	
4857:	七七八八	1	
4858:	屏声静气	1	
4859:	评头品足	1	
4860:	喷云吐雾	1	
4861:	披红戴花	1	
4862:	喷薄欲出	1	
4863:	刨根究底	1	
4864:	咆哮如雷	1	
4865:	匹马当先	1	
4866:	偏听偏信	1	
4867:	平白无故	1	
4868:	评头论足	1	
4869:	平白无辜	1	
4870:	萍水相逢	1	4
4871:	拼死拼活	1	
4872:	其乐无穷	1	
4873:	棋逢对手	1	
4874:	千钧一发	1	
4875:	千人所指	1	
4876:	千回百转	1	
4877:	千古绝唱	1	
4878:	千恩万谢	1	
4879:	千山万壑	1	
4880:	千岩万壑	1	
4881:	堑山堙谷	1	
4882:	强奸民意	1	
4883:	浅尝辄止	1	
4884:	前赴後继	1	
4885:	千载一时	1	
4886:	牵肠挂肚	1	
4887:	掐头去尾	1	
4888:	齐心合力	1	
4889:	起早摸黑	1	
4890:	歧路亡羊	1	
4891:	奇装异服	1	
4892:	奇花异草	1	4
4893:	起早贪黑	1	
4894:	气喘如牛	1	
4895:	弃暗投明	1	
4896:	弃旧图新	1	
4897:	气壮山河	1	
4898:	气象万千	1	
4899:	气吞山河	1	
4900:	燕瘦环肥	1	
